gene,log2FC,pval,padj
ENSG00000141504.11,-0.3772764197209537,0.001104160367984031,12.684594307400546
ENSG00000178852.15,-0.37662804715956,0.001104398316510644,12.687327860074278
ENSG00000156687.10,-0.5490040031817269,0.001106021243512043,12.70597204546635
ENSG00000002726.20,-0.4857165775931489,0.001108800319425159,12.737898069556225
ENSG00000168955.3,-0.44152507389642803,0.0011123353277304824,12.778508244967782
ENSG00000162104.9,-0.29442779039873024,0.0011139441170905885,12.79699001713668
ENSG00000154263.17,-0.4348365728301533,0.0011266792653992354,12.943291400906416
ENSG00000120306.10,-0.2811107507246353,0.0011273217969682695,12.95067280357148
ENSG00000152952.11,-0.4827603575714523,0.0011287281018054496,12.966828433541005
ENSG00000196417.12,-0.41335469977410444,0.0011473634562497361,13.180911385396968
ENSG00000157168.18,0.4876734715166773,0.0011538210069896512,13.255095728297114
ENSG00000120137.6,-0.37517348218530966,0.0011645811188933243,13.378707893846508
ENSG00000170088.13,-0.3930445865942689,0.0011695221013883026,13.43546990074882
ENSG00000178401.14,-0.36958586918361735,0.001181059714419118,13.568013999246828
ENSG00000213430.6,0.738600457123753,0.0011968476422682135,13.749385714377237
ENSG00000196549.10,-0.4797739111611632,0.0012066866111547512,13.862415788945782
ENSG00000100567.12,0.36235325607014435,0.0012079786433688267,13.87725865502108
ENSG00000065833.8,-0.3028418894793594,0.0012119961600574245,13.923411886739693
ENSG00000101346.13,-0.3961619174897595,0.001229368252324037,14.122982482698538
ENSG00000100330.15,-0.1925802331765274,0.0012442753296931367,14.294234987514754
ENSG00000139946.9,-0.3650787677200862,0.0012499026319962346,14.358881436372744
ENSG00000121060.16,0.2401140902853438,0.0012524511130451218,14.38815838666236
ENSG00000135124.14,-0.33363149857664,0.0012577179209906902,14.448663476341048
ENSG00000135218.17,-0.5514749859554238,0.0012642233985974115,14.523398403087063
ENSG00000006625.17,0.45498650527613194,0.0012695947731080621,14.585104753465417
ENSG00000147872.9,-0.5240815003210102,0.001285065190585072,14.762828909441307
ENSG00000175066.15,-0.2554849389736731,0.0012863270674242579,14.777325350569875
ENSG00000149260.15,-0.386541009607289,0.0012870184311543742,14.785267737101451
ENSG00000043462.11,0.34092523880645986,0.001295448450056423,14.882111794248187
ENSG00000140263.13,-0.6965261490551535,0.0012979918502870353,14.911330376097462
ENSG00000169814.13,-0.46810291223984013,0.001341885002781987,15.415574911959467
ENSG00000204267.13,0.46443699212331957,0.0013501591906377496,15.510628782046467
ENSG00000090402.7,-0.4224915783129113,0.00136304930460992,15.658710411358761
ENSG00000196396.9,0.3772315610963659,0.001367882731456291,15.714236818969873
ENSG00000163191.5,0.9751436006578875,0.0013820675777516693,15.877192333211177
ENSG00000154122.13,-0.24519892402097732,0.0013926740564235503,15.999039560193745
ENSG00000106617.13,-0.3203165681622506,0.00140386255259959,16.12757300426409
ENSG00000271503.5,0.4791954027641032,0.0014267895772996368,16.39095866401823
ENSG00000146039.10,-0.4864985357655347,0.00143105167984502,16.43992169805959
ENSG00000168216.10,-0.26367140231194597,0.0014379960879906313,16.519699058836373
ENSG00000172689.1,-0.8243176842593991,0.0014392746146033584,16.53438677256338
ENSG00000044574.7,0.46410975804855337,0.001442704850506774,16.573793322621817
ENSG00000176928.5,-0.46136780478372597,0.0014581178542585256,16.75085790972194
ENSG00000137807.14,0.9394753568657905,0.0014660741891078179,16.842260284470612
ENSG00000100300.17,0.47006666894186244,0.0014856435803372473,17.067073450914297
ENSG00000118363.11,0.3350670982550401,0.0014866583748807051,17.07873141062954
ENSG00000137860.11,-0.68467008928243,0.0015008932037494235,17.242261124673377
ENSG00000241484.9,0.6871742731576398,0.001510502325537516,17.352650715774985
ENSG00000120694.19,0.488177593018726,0.0015110765910623261,17.359247878124002
ENSG00000218283.2,0.36555054608779347,0.0015146695347544464,17.40052361525908
ENSG00000185950.8,-0.5014633471966445,0.0015152569585824278,17.40727194019493
ENSG00000164120.13,-0.3519524227205668,0.0015365526893122365,17.651917294818972
ENSG00000065427.14,0.4053691095059997,0.0015482797581387103,17.786637861497503
ENSG00000089127.12,0.4896137930709439,0.0015526358891585121,17.836681094652988
ENSG00000137942.16,-0.2706140943781783,0.0015540258974403112,17.852649509794293
ENSG00000182551.13,-0.458096807201791,0.0015702176982528714,18.038660917528986
ENSG00000130332.14,0.3641082534831743,0.0015938111935938984,18.309702992006706
ENSG00000170421.12,0.3583414638166955,0.0015962756316490606,18.338014456384407
ENSG00000143324.13,-0.25384064840961784,0.001623602929470306,18.651950453754875
ENSG00000101367.8,0.5763122171343187,0.0016363325764977852,18.798188638806558
ENSG00000167528.12,-0.6558430608220414,0.001638199853528188,18.819639917331823
ENSG00000141434.11,-0.4853741688648343,0.0016421977122237051,18.865567318025924
ENSG00000198099.8,-0.6030561902084441,0.0016629085922978508,19.10349390831771
ENSG00000082781.11,-0.340700413064452,0.0016701175485163645,19.186310397355996
ENSG00000166821.8,-0.5331599801928149,0.0016728053077455548,19.217187375380934
ENSG00000231312.6,-0.297391863516677,0.0016932896991016125,19.452512063279325
ENSG00000173692.12,0.1327348916112756,0.0017143282110183102,19.694202488178348
ENSG00000131747.14,0.4434051720289576,0.0017232509931493745,19.796707409300016
ENSG00000107758.15,-0.2641070402592547,0.0017269315461157036,19.838989601777204
ENSG00000126787.12,0.7876968539682649,0.0017524810034329622,20.13250176743787
ENSG00000104626.14,0.4706165921594807,0.0017655490930933717,20.282627981456653
ENSG00000172404.4,-0.5903827826110688,0.001775321361674342,20.39489180291484
ENSG00000051341.13,0.4604935169472695,0.0017761937980217378,20.404914351673725
ENSG00000034510.5,0.34441360965323664,0.0017866000238313617,20.524461073774685
ENSG00000060688.12,0.5456940093348654,0.0017957429050218215,20.629494492890686
ENSG00000186529.15,-0.6096257491221033,0.0018281996149337298,21.00235717635869
ENSG00000181450.17,0.4075860750464759,0.0018491483948746821,21.243016760320348
ENSG00000252561.1,0.6601775311885594,0.0018564125300685721,21.326467145427756
ENSG00000254757.1,-0.4785875215290232,0.0018681565060571115,21.461381941584097
ENSG00000209082.1,0.2865512488881157,0.0018703280902909914,21.486329101262907
ENSG00000245849.6,-0.5059434671321035,0.0018703460183758288,21.48653505910152
ENSG00000117791.15,-0.4188542397464454,0.0018709186652814862,21.493113626753715
ENSG00000118193.11,0.6707380885367975,0.0018817277028771835,21.617287850653085
ENSG00000182606.14,-0.20166493401884633,0.0018859593786255972,21.665901341650862
ENSG00000188158.14,0.4123501319535108,0.00188634963691711,21.67038462890376
ENSG00000129347.19,0.5849543359940186,0.0018885373545490032,21.69551712905895
ENSG00000183684.7,0.44922048286131266,0.0018890427258471082,21.701322834531577
ENSG00000119950.20,-0.40665694030021005,0.0019178263840055284,22.03198949945551
ENSG00000143297.18,0.6455205047714263,0.0019352552841724543,22.232212704573154
ENSG00000119977.20,-0.4027350378364556,0.00194184562926845,22.307922589035954
ENSG00000143515.16,-0.4905685062439975,0.0019531996603898132,22.438357698558175
ENSG00000165828.14,-0.465381885402544,0.0019653762577554476,22.57824244909458
ENSG00000138180.15,0.8590127669418774,0.0019693516682292513,22.623911964617637
ENSG00000075426.11,-0.4091164471661721,0.0019739628306142355,22.676884998096337
ENSG00000172380.5,-0.28749550395200885,0.0019755918343420664,22.69559899292166
ENSG00000146938.15,-0.6795659810469874,0.002030170875248117,23.32260301485037
ENSG00000166501.13,0.44335745774447854,0.0020354162662923536,23.38286206716656
