Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-44,T1D,0.0026736108,-1.2629881,-0.5182561,-0.45015144,0.3207786,-0.007734629,0.10896209,0.9177373,0.1645439,-0.101589985,-0.11233431,0.061073422,-0.42287084,0.061971646,-0.51690805,1.0552521,-0.21279147,0.017132934,0.31568888,0.084638886,0.06636123,0.6607518,-0.07642218,0.79975855,-0.28426,0.09520525,0.35398024,1.2111567,-0.10409066,-0.6894875,Subtype_2
T1D-52,T1D,-0.06266915,0.18910073,0.38715744,-0.31383005,-0.22427976,-0.3917894,-0.24085939,0.39497328,-1.0005145,-0.2847542,-0.22643115,-0.028125236,-0.3197983,-0.78270376,-0.51194197,-0.22281377,0.21973546,0.18643798,0.113336556,0.23071867,0.41626453,0.21241441,-0.26792967,0.050939325,0.29545218,-0.08938328,-0.6326739,-0.0026179438,-0.11127156,0.2498251,Subtype_2
T1D-61,T1D,-0.0064884215,-0.0342552,0.031275906,0.038440563,0.013206202,-0.5770712,-0.28466228,0.80942804,-0.042351227,0.1978493,-0.7576229,-0.08915263,0.27645597,0.04732967,-0.04946747,-0.56009144,0.1667133,-0.36785358,-0.24564175,0.42040893,-0.08441039,0.07878399,-0.18772297,0.035482924,-0.3507491,-0.1450542,0.2514591,0.34712884,-0.13402484,0.2843833,Subtype_4
T1D-73,T1D,0.2829939,0.35210887,-0.35554993,-0.5742406,0.086476676,0.23784125,-0.8774727,0.4986052,-0.1131559,-0.05625205,0.44932213,0.36313093,0.16352955,0.07504318,-1.0838356,0.12475321,0.43208238,-0.0767081,-0.1834922,0.028736645,-0.04769665,-0.2509074,0.12365597,-0.1993683,0.6038571,-0.2949614,-0.52732843,-0.4698695,0.3738196,0.1645056,Subtype_4
T1D-79,T1D,0.31638962,0.010936075,-0.01823972,0.14268748,0.04434491,0.6497985,-0.13921505,0.36722544,0.33657575,0.38671243,-0.0031928562,-0.01783301,0.1562504,-0.32673427,-1.1509297,0.10429008,-0.3857877,0.060662773,0.36574346,0.25004172,0.08828861,0.09986931,-0.28077674,0.24412598,0.25647625,0.28256035,-0.46015394,-0.918901,-0.1905317,0.086726345,Subtype_4
T1D-8,T1D,-0.06390848,-0.091407135,-0.054366283,-0.5580173,-0.12863407,-0.3861348,-0.3557878,0.80649567,-0.40756878,-0.29535535,0.21510941,1.4026493,0.74817616,0.30125338,-0.6335506,0.65701276,-0.44608095,-0.1899404,-0.39606956,0.48946097,-0.22610183,0.9393955,0.098665975,-0.023396365,-0.36100933,0.3170914,0.8101521,0.37162265,0.0064897253,0.17493482,Subtype_4
T1D-82,T1D,-0.2046478,0.2162098,-0.33986363,0.10162106,0.19843242,0.5967838,-0.4090235,0.31065914,-0.65448344,0.6038199,-0.5658402,-0.12335906,-0.0624665,-0.4064374,-0.22859938,0.26481634,0.48154232,0.35695377,0.5158236,0.12736537,0.6142889,0.46949956,-0.2081022,-0.5036227,-0.071793385,0.23434049,-0.021020774,0.25451702,-0.22847833,0.6195872,Subtype_2
T1D-86,T1D,-0.24195485,0.03164834,-0.41164416,-0.15192996,0.21038595,0.55526423,-0.24752152,0.4255767,-0.7917878,0.6140571,-0.45537606,-0.21921957,-0.24909003,-0.27322987,-0.16542274,0.4479459,0.46098983,0.5742448,0.61773145,-0.22263642,0.4780013,0.69692194,0.11236,-0.42089146,-0.07058608,0.4609386,-0.1478255,0.4552184,-0.37655985,0.42389843,Subtype_2
T1D-87,T1D,-0.48324153,-0.11188321,0.38595775,0.30216917,-0.64192164,0.39061868,0.29277304,-1.0847245,-0.19555615,-0.013257054,-0.08233804,0.1279303,0.11552404,-0.20890519,1.227789,0.41737252,-0.20848686,0.47252026,0.4943314,-0.011608451,0.05965214,0.13045627,-0.92374974,0.54336256,-0.68483955,0.4269581,-0.41044536,0.38759288,0.113554135,0.18910776,Subtype_3
T1D-88,T1D,0.17756025,0.335762,0.38967457,0.91489404,0.1537162,0.4712658,-0.32638147,-0.15662575,0.33924964,-1.4684155,1.4687366,0.72230303,-0.054815743,0.4048166,-0.5195537,-0.1940248,0.43815324,-0.4480152,0.4754199,0.3240156,0.42967957,0.3096522,-0.035929337,-1.4299895,-0.14690633,0.13552316,0.37346908,-0.23204507,-0.40796798,-0.016907273,Subtype_1
T1D-93,T1D,-0.18520062,0.42521617,0.36781478,0.0021265168,0.2853394,0.47374862,-0.32902944,-0.9696693,0.3910336,-0.3546341,-0.14095822,-0.08221911,-0.19260395,0.70188326,0.5070065,0.5951962,0.038411405,0.23168418,0.1882782,0.108689085,0.6404874,0.11090772,0.28386268,-0.15640427,0.29904988,-0.0109613985,-0.23511551,-0.6150421,-0.30723742,-0.47114262,Subtype_3
T1D-96,T1D,-0.088832535,0.23774348,-0.39169016,-0.24669163,-0.4966862,0.058128078,-0.08118582,-1.0895277,0.08049909,-0.20834862,-0.17162739,-0.20841022,0.21305591,0.5936442,1.6023812,0.08729836,0.8196213,0.13821617,0.5282378,0.394598,0.23770587,1.0531136,0.81206,-0.30925292,0.5399128,0.7174058,0.57165504,0.3881257,0.072922274,-0.24210948,Subtype_3
T1D-97,T1D,0.5866195,-0.123954564,-0.16580854,-0.33724597,-0.0723998,-0.30529097,0.28809807,-0.525642,0.56896,-0.19498788,0.5633253,-0.24437313,0.39935023,0.60191417,1.06787,0.14958028,-0.070445046,0.23302051,0.13319921,0.08072784,-0.15923806,0.47113463,-0.34803262,0.07290092,-0.20230871,0.2890281,-0.60931677,-0.7186964,-0.2880977,-0.31259272,Subtype_3
T1D-98,T1D,0.23129034,0.15037696,0.06971554,-0.53858733,-0.20006344,-0.18364696,-0.23380302,-0.5966661,0.14219412,-0.560704,-0.16028301,0.04809808,0.4106129,0.64139324,0.81819665,0.06402272,0.46570966,0.5165067,-0.05015059,0.012969855,0.5630665,0.55712104,0.09502538,0.16219562,0.16026083,0.080045,-0.18196423,-0.018403577,-0.39997444,-0.036318254,Subtype_3
