Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29
T1D-15,T1D,-0.24284226,0.3532914,-0.18954143,-0.66027534,-0.8502598,0.5876574,0.32469642,0.346202,0.64254355,-0.1335762,0.5593607,-0.917472,0.09089985,0.10000412,-0.06480249,0.029046778,0.3603855,-0.33808318,0.37714085,-0.6174517,-0.09980722,0.1361306,-0.11495278,0.35012996,0.5305421,-0.38037637,-0.39588094,-0.106791094,-0.28478083,-0.24907206
T1D-153,T1D,0.23282629,-0.07759586,-0.41080138,-0.32394293,1.4155703,-0.45441172,0.4591255,0.042894647,-0.48343268,-0.059792873,0.14329153,0.4853374,-1.0994445,-0.3998272,-0.07466317,-0.31810778,0.50635105,0.3582036,0.031028474,0.7696784,-0.0936923,0.115958594,-0.69137007,-0.5910708,-0.26527482,0.23952372,-0.5804142,-0.4016901,-0.106910594,0.13546431
T1D-156,T1D,-0.13230264,-0.78336453,-0.5351273,0.25274336,1.1527423,-0.09644318,-0.6817641,0.45173576,-0.046238992,0.59082985,-0.20231342,0.87221473,-0.63276255,-0.4670029,-0.014804587,-0.20259634,0.69781834,-0.3348038,0.26703563,0.039008297,0.77019274,-0.07518687,-0.02569738,-0.30929694,0.15257724,0.39933512,-0.018378997,-0.08114858,-0.35210347,0.18939856
T1D-158,T1D,-0.28469634,-0.57867557,-0.19311932,-0.17500798,0.90216976,-0.09250088,-0.24433489,0.8079218,-0.510378,-0.21428598,0.57643723,1.2054371,-0.3366215,-0.48829243,-0.31035724,-0.36308473,-0.35725844,0.050801903,0.3292702,-0.16004454,0.48917577,-0.10609048,0.32095164,0.55867726,-0.030711262,-0.28247043,-0.09018046,0.27033442,0.018423267,-0.3020043
T1D-170,T1D,-0.7067085,0.16510619,-0.839677,-0.0025256139,0.8245201,0.2373306,0.14127675,0.58841944,-0.032739848,-0.08545917,0.7390969,0.60959816,-0.46766973,0.2604242,0.27523002,-0.35973033,0.91127616,-0.34398192,0.4873039,-0.090689786,-0.13251467,0.36725104,0.11824073,0.5309359,0.6867711,-1.021283,0.42638078,-0.3215331,-0.44923514,0.07508239
T1D-174,T1D,0.6301148,-0.684427,-0.72556865,-0.4836576,1.3771389,-0.12573393,0.9398338,0.25846168,-0.99485856,-0.3881288,0.87507164,0.15599258,-0.5555133,0.31068265,-0.8432954,-0.81975347,-0.10384542,-0.14110789,-0.373749,-0.29362115,0.14225657,0.32700396,-0.53573,-0.017839177,-0.25154287,0.23680036,-0.52696407,-0.290131,0.433327,-0.008772197
T1D-2,T1D,0.20175247,0.53720546,-0.44162688,0.75424266,-0.36993295,0.8781184,-0.42766273,0.6455022,0.13434619,0.15414153,0.2698318,0.31428126,-0.012915557,0.43887147,0.7111463,0.045863383,0.08091937,-0.13855858,0.21293075,-0.02334312,0.21828231,0.2801287,-0.16519111,0.342621,0.523763,0.08209075,0.35345903,0.35125473,-0.2834167,0.3032564
T1D-21,T1D,-0.20865457,-0.0283427,-0.37701797,0.5473523,0.12566416,0.49824804,-0.3103729,0.1682321,-0.72777635,0.5736756,-0.24186179,0.27370593,0.13606444,0.64155763,0.2886196,-0.35932583,0.80099857,-0.082725875,-0.5690956,0.15436357,0.543653,0.26643965,0.2617754,-0.27620494,-0.33731297,0.31828028,0.071513176,0.110635616,-0.2764971,-0.19043878
T1D-25,T1D,-0.23848778,1.1889104,0.12396745,-0.055020574,0.09783907,0.23827937,-0.28085726,0.26734036,0.18275754,-0.99512446,-0.8489378,0.36137995,0.8994865,-0.3027251,0.08543954,0.129117,-0.042728372,0.65039,-0.06490651,-0.7538616,0.24617557,-0.1172491,-0.22943072,-0.046832662,0.5971134,-0.40743005,0.5941509,-0.21482156,-0.5119767,0.40440053
T1D-28,T1D,-0.7033876,0.004098637,-0.011580396,1.0024326,-0.28844476,0.7077919,-0.1986228,0.56044954,-0.12864247,0.11853953,0.08973534,0.41676334,-0.30223513,-0.024219783,0.25094062,0.3432853,-0.35285395,-0.16435364,-0.51969147,0.72786176,0.3270386,-0.3469642,0.16160628,-0.26144052,0.1699063,-0.55977064,0.34658593,-0.2311892,0.00021794197,0.122854605
T1D-29,T1D,0.041999515,0.13644542,-0.5019168,0.21158758,-0.047395464,0.39549902,0.26985803,0.34807694,0.3390241,-0.2251353,-0.47678044,0.30221257,-0.99438375,-0.6022388,-0.82209194,0.20608345,0.43406215,0.16569108,0.1585314,0.35612187,-0.26446125,-0.007913266,0.047367036,-0.43893585,-0.033245523,0.7561594,-0.36595917,0.06460039,-0.024831545,-0.059112374
T1D-37,T1D,0.043426305,-0.51982886,1.1908236,0.32543197,-0.83731586,-0.17914367,-0.6613515,-0.9818048,-0.25799254,0.22695811,-0.29496095,-0.25990131,-0.27791283,0.0154322395,0.18867704,0.8645097,0.44641364,-0.52255636,-0.45162457,0.7363582,0.5402479,0.12733261,0.31820866,-0.33562875,0.41016427,-0.18684429,-0.35752472,0.043484718,0.6019451,0.0521701
T1D-39,T1D,0.022750162,0.040036652,1.2310425,0.77943105,-0.90030026,0.047863744,-0.80340195,-0.62842554,-0.031548634,-0.40827534,0.12550986,-0.018742245,0.18669944,0.13258551,-0.23055346,0.40973383,-0.30793655,0.31671193,0.10297408,0.268512,0.3447695,0.066637285,0.19408724,0.021482674,-0.27014264,-0.5293564,-0.4361124,0.14384553,0.42636338,-0.2045525
T1D-42,T1D,-0.19942237,0.013644781,1.0024751,0.31416208,-0.732907,-0.22562423,-0.72389483,-0.38262644,0.37293267,0.03938758,-0.3999484,-0.11477757,-0.18216857,-0.44773325,-0.056727946,0.1512695,0.6283319,-0.18663266,-0.52409625,-0.15366498,0.35099712,-0.03451582,-0.0251904,-0.11410561,0.08065282,-0.1169789,-0.13352825,-0.0915147,0.3674027,-0.0026087167
T1D-44,T1D,-0.18748072,0.3812571,0.8071094,-0.18260191,-0.9354515,-0.34945378,-0.8768177,-0.827516,0.15457475,0.2638489,-0.14362974,-0.4223469,1.0137967,-0.4989019,0.37422192,-0.577842,0.72994065,-0.07191963,-0.5116196,0.23540322,-0.58527976,0.14985482,0.05925906,0.42517456,-0.6294831,-0.5292343,-0.03158831,-0.49861014,0.3400375,0.2297269
T1D-52,T1D,0.44786885,0.06556474,0.5105426,0.798449,-0.37663603,-0.21093525,-0.28256384,-0.18400548,0.7424801,-0.23020406,0.10673975,0.19126928,-0.08478777,-0.3491836,-0.13840026,0.15612392,-0.48154444,0.70170295,0.27649888,0.17417735,0.65500987,-0.15606105,-0.12277088,0.10174734,-0.10276503,-0.12235916,-0.032001343,0.4588183,0.09767801,-0.31667113
